"","Year","CountryCode","Access to electricity (% of population)","Access to electricity, urban (% of urban population)","Population ages 15-64, total","Population ages 15-64, male","Population ages 15-64, female","Population, total","Population ages 15-64 (% of total population)","Urban population","Urban land area (sq. km)","CO2 emissions from transport (% of total fuel combustion)","Railways, passengers carried (million passenger-km)","Rail lines (total route-km)","Adjusted net national income per capita (constant 2010 US$)","GDP per capita (constant 2010 US$)","Public private partnerships investment in ICT (current US$)","Investment in ICT with private participation (current US$)","Mobile cellular subscriptions (per 100 people)","Individuals using the Internet (% of population)","Fixed broadband subscriptions (per 100 people)","Researchers in R&D (per million people)","Research and development expenditure (% of GDP)","CO2 emissions (metric tons per capita)","Urban population (% of total population)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Gross enrolment ratio, lower secondary, both sexes (%)","joinID","Registrations or Sales of New Vehicles","Vehicles in Use","Number of registered passenger cars (in thousand)","Number of taxis or taxicabs (in thousand)","Total number of registered motorcycles (in thousand)","Number of public buses (in thousand)","Number of traffic accident casualties (injuries) by road","Total number of registered buses (in thousand)","Total number of registered road motor vehicles (in thousand)","the total length of the road network and includes the length of the paved and unpaved portions (km)","Number of Charging Station","Number of Car Sharing","Number of Public Transport Node","Google Trends for Grab","Google Trends for Google Maps","Road accidents deaths (nbr)","Road accidents injury (nbr)","Road accidents deaths (per 1MM habitants)","Accidents involving casualities (nbr)","Road accidents deaths (per 1MM vehicles)","Infrastructure investment rail (eur)","Infrastructure investment road (eur)","Infrastructure investment inland total (percentage GDp)","Infrastructure investment sea (eur)","Infrastructure investment air (eur)","Infrastructure investment inland waterways (eur)","Infrastructure maintenance rail (eur)","Infrastructure maintenance road (eur)","Infrastructure maintenance air (eur)","Infrastructure maintenance sea (eur)","Infrastructure maintenance inland waterways (eur)","Passenger transport by rail (MM pkm)","Passenger transport by road (MM pkm)","Passenger transport by inland (MM pkm)","Country"
"1",2001,"ARG",95.5110634674458,95.9759826660156,23118523,11284774,11833716,37275652,62.0204389717985,33297967,NA,28.3806862288465,NA,NA,6209.82346811907,7776.13787206685,NA,NA,18.08631275,9.780807285,0.252175334,688.2777,0.42461,3.58735031650151,89.329,71.8199996948242,118.25611,"ARG2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25286.633953817,NA,"Argentina"
"2",2002,"ARG",96.10791015625,96.1697845458984,23443110,11446497,11996573,37681749,62.2134338828062,33728934,NA,28.0075651673382,NA,NA,5464.64542673164,6854.29408086406,NA,NA,17.42684502,10.88212438,0.392763085,692.19186,0.38886,3.3096836879838,89.51,71.6699981689453,116.25991,"ARG2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24807.918815452,NA,"Argentina"
"3",2003,"ARG",96.384895324707,96.3741073608398,23767648,11610885,12156727,38087868,62.402148631685,34159485,NA,26.7334301658895,NA,NA,5985.28965365887,7380.4670873289,NA,NA,20.58984504,11.91369655,0.679610106,718.52276,0.41013,3.5460883239776,89.686,73.6900024414063,114.62478,"ARG2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28189.802854194,NA,"Argentina"
"4",2004,"ARG",96.6386489868164,96.5962295532227,24098002,11779972,12318013,38491972,62.60526740485,34588886,NA,25.858186036989,NA,NA,5851.14125968868,7962.41230916816,NA,NA,35.10441866,16.03668411,1.410369414,765.64017,0.40376,4.09408291682224,89.86,74.379997253418,115.83869,"ARG2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30231.20386274,NA,"Argentina"
"5",2005,"ARG",96.8673934936523,96.8414840698242,24435888,11953968,12481920,38892931,62.8286101656879,35015695,NA,26.5140868634143,8640.7627436806,3150,6197.71353927243,8577.86499429459,NA,NA,56.96774563,17.72058337,2.382751765,819.37769,0.42074,4.16812854757591,90.031,74.75,114.42507,"ARG2005",402690,7005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8640.7627436806,32980.546529808,41621.309273488,"Argentina"
"6",2006,"ARG",97.0800247192383,97.1075592041016,24749594,12112636,12636956,39289878,62.9922902789365,35439470,NA,26.3310440425934,9052.390462155,13488,7387.61294184689,9174.50245831662,NA,NA,80.19976545,20.9272021,4.030842244,891.83275,0.45216,4.46518602068451,90.2,75.6500015258789,113.34396,"ARG2006",460478,7175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9052.390462155,36054.702001354,45107.092463509,"Argentina"
"7",2007,"ARG",97.2881317138672,97.3902206420898,25080390,12280930,12799454,39684295,63.1997872206121,35861110,NA,25.6447424050251,8715.4385913024,NA,8182.14527174693,9901.51188115634,NA,NA,101.8079595,25.94663294,6.551710192,974.71808,0.46007,4.41424641662401,90.366,76.3600006103516,114.40126,"ARG2007",564926,7739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8715.4385913024,36459.644967842,45175.083559144,"Argentina"
"8",2008,"ARG",97.5032958984375,97.6852264404297,25420356,12455040,12965307,40080160,63.4237887273903,36284569,NA,25.5363713557883,9237.510554638,NA,8576.34544356986,10201.4759370923,NA,NA,116.0393921,28.11262348,7.771278857,1035.99886,0.47055,4.7182244282458,90.53,76.3199996948242,117.5209,"ARG2008",611770,8460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5759,NA,143.6870511495,197061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9237.510554638,37328.292253227,46565.802807865,"Argentina"
"9",2009,"ARG",97.7371063232422,97.9883422851563,25755690,12628101,13127587,40482788,63.6213345780434,36714245,NA,24.0184757505774,9108.0603687135,NA,7903.82425528784,9502.24358504659,NA,NA,129.6422074,34,8.672885869,1035.62531,0.58398,4.44538780283611,90.691,75.9599990844727,123.76553,"ARG2009",487142,8955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5219,90446,128.91898650854,180029,317.92186919297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9108.0603687135,38027.884634981,47135.945003695,"Argentina"
"10",2010,"ARG",98.82,99.6886825561523,26010395,12762675,13247722,40788453,63.7690168895782,37055902,55032.20313,24.9827308312227,8817.8723669107,NA,8803.45461792655,10385.9644319555,NA,NA,139.580018,45,9.850015718,1123.83311,0.56104,4.60680413645499,90.849,76.4400024414063,128.41853,"ARG2010",698404,10116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5094,91416,124.88828639811,174828,286.96324943799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8817.8723669107,43970.071924153,52787.944291063,"Argentina"
