"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","INFRAMAINT","RAIL","EUR","A","1997",384000000,
"AUT","INFRAMAINT","RAIL","EUR","A","1998",378000000,
"AUT","INFRAMAINT","RAIL","EUR","A","1999",364000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2000",347000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2001",338000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2002",339000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2003",335000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2004",341000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2005",302000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2006",362000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2007",325000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2008",356000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2009",348000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2010",344000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2011",451000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2012",480000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2013",497000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2014",504000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2015",503000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2016",535000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2017",552000000,
"AUT","INFRAMAINT","RAIL","EUR","A","2018",560000000,
"AUT","INFRAMAINT","ROAD","EUR","A","1995",532000000,
"AUT","INFRAMAINT","ROAD","EUR","A","1996",478000000,
"AUT","INFRAMAINT","ROAD","EUR","A","1997",463000000,
"AUT","INFRAMAINT","ROAD","EUR","A","1998",533000000,
"AUT","INFRAMAINT","ROAD","EUR","A","1999",527000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2000",508000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2001",520000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2002",294000000,"B"
"AUT","INFRAMAINT","ROAD","EUR","A","2003",388000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2004",458000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2005",443000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2006",495000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2007",486000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2008",467000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2009",516000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2010",559000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2011",494000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2012",517000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2013",559000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2014",667000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2015",692000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2016",697000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2017",687000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2018",726000000,
"BEL","INFRAMAINT","RAIL","EUR","A","1995",315000000,
"BEL","INFRAMAINT","RAIL","EUR","A","1996",292000000,
"BEL","INFRAMAINT","RAIL","EUR","A","2010",295000000,
"BEL","INFRAMAINT","RAIL","EUR","A","2011",312000000,
"BEL","INFRAMAINT","RAIL","EUR","A","2012",311000000,
"BEL","INFRAMAINT","RAIL","EUR","A","2013",329000000,
"BEL","INFRAMAINT","RAIL","EUR","A","2014",333000000,
"BEL","INFRAMAINT","RAIL","EUR","A","2015",313000000,
"BEL","INFRAMAINT","RAIL","EUR","A","2016",311000000,
"BEL","INFRAMAINT","RAIL","EUR","A","2017",317000000,
